run,model,summary,diagnostic,n,TP,FP,FN,TN,n_positive,n_negative,FNR,FPR,AUC,q05,q95,min_error,max_error,max_gold_pmp
run2,m2,S=2D,density,17,0,17,0,0,0,17,,100.0,,-0.0013648266160676,0.0013934071088093,-0.0010083553162572,3.6418579300262764e-09,0.0017498786745662
run2,m2,S=2D,mmd,17,0,1,0,16,0,17,,5.882352941176471,,-0.0013648266160676,0.0013934071088093,-0.0010083553162572,3.6418579300262764e-09,0.0017498786745662
run2,m2,S=4D,l2,17,0,15,0,2,0,17,,88.23529411764706,,-0.0020049621746845,0.0019654097656897,-0.0003518537645845,3.7636639830954e-08,0.0017498786745662
run2,m2,S=4D,linf,17,0,15,0,2,0,17,,88.23529411764706,,-0.0020049621746845,0.0019654097656897,-0.0003518537645845,3.7636639830954e-08,0.0017498786745662
run2,m2,S=4D,density,17,0,17,0,0,0,17,,100.0,,-0.0020049621746845,0.0019654097656897,-0.0003518537645845,3.7636639830954e-08,0.0017498786745662
run2,m2,S=4D,mmd,17,0,1,0,16,0,17,,5.882352941176471,,-0.0020049621746845,0.0019654097656897,-0.0003518537645845,3.7636639830954e-08,0.0017498786745662
run2,m3,S=D,l2,17,5,1,10,1,15,2,66.66666666666667,50.0,23.333333333333332,-2.200117524190807e-05,7.021628855742197e-05,-0.331847570401323,0.1952110366895902,0.99999999994819
run2,m3,S=D,linf,17,4,1,11,1,15,2,73.33333333333333,50.0,26.666666666666668,-2.200117524190807e-05,7.021628855742197e-05,-0.331847570401323,0.1952110366895902,0.99999999994819
run2,m3,S=D,density,17,3,1,12,1,15,2,80.0,50.0,23.333333333333332,-2.200117524190807e-05,7.021628855742197e-05,-0.331847570401323,0.1952110366895902,0.99999999994819
run2,m3,S=D,mmd,17,0,0,15,2,15,2,100.0,0.0,20.0,-2.200117524190807e-05,7.021628855742197e-05,-0.331847570401323,0.1952110366895902,0.99999999994819
run2,m3,S=2D,l2,17,6,1,9,1,15,2,60.0,50.0,33.33333333333333,-2.983212408189146e-05,1.8068972458550884e-05,-0.1522797937344503,0.1372156923863116,0.99999999994819
run2,m3,S=2D,linf,17,1,1,14,1,15,2,93.33333333333331,50.0,53.333333333333336,-2.983212408189146e-05,1.8068972458550884e-05,-0.1522797937344503,0.1372156923863116,0.99999999994819
run2,m3,S=2D,density,17,2,1,13,1,15,2,86.66666666666667,50.0,10.0,-2.983212408189146e-05,1.8068972458550884e-05,-0.1522797937344503,0.1372156923863116,0.99999999994819
run2,m3,S=2D,mmd,17,0,0,15,2,15,2,100.0,0.0,36.66666666666667,-2.983212408189146e-05,1.8068972458550884e-05,-0.1522797937344503,0.1372156923863116,0.99999999994819
run2,m3,S=4D,l2,17,5,2,10,0,15,2,66.66666666666667,100.0,13.333333333333334,-3.558915185879222e-05,3.0602574957110164e-05,-0.586969078976434,0.1020697824454544,0.99999999994819
run2,m3,S=4D,linf,17,3,1,12,1,15,2,80.0,50.0,30.0,-3.558915185879222e-05,3.0602574957110164e-05,-0.586969078976434,0.1020697824454544,0.99999999994819
run2,m3,S=4D,density,17,8,2,7,0,15,2,46.666666666666664,100.0,3.3333333333333335,-3.558915185879222e-05,3.0602574957110164e-05,-0.586969078976434,0.1020697824454544,0.99999999994819
run2,m3,S=4D,mmd,17,0,0,15,2,15,2,100.0,0.0,26.666666666666668,-3.558915185879222e-05,3.0602574957110164e-05,-0.586969078976434,0.1020697824454544,0.99999999994819
